time,method,disease,prompt_tokens,completion_tokens,total_tokens,response_time
2026-03-11 20:41:08,baseline,早疫病,62,1043,1105,
2026-03-11 20:51:39,baseline,早疫病,62,1200,1262,
2026-03-11 20:52:35,prompt_opt,早疫病,41,359,400,
2026-03-11 20:53:09,rag,早疫病,35,29,64,
2026-03-11 20:54:10,prompt_opt,早疫病,41,418,459,
2026-03-13 19:11:48,prompt_opt,马铃薯早疫病,80,390,470,
2026-03-13 19:15:16,baseline,马铃薯早疫病,161,699,860,
2026-03-13 19:24:52,baseline,马铃薯早疫病,161,919,1080,
2026-03-13 19:25:04,baseline,马铃薯早疫病,161,856,1017,
2026-03-13 19:37:08,baseline,马铃薯早疫病,161,861,1022,
2026-03-13 19:48:23,rag,马铃薯早疫病,76,126,202,
2026-03-14 20:34:08,rag,马铃薯早疫病,76,86,162,
2026-03-14 20:46:58,rag,马铃薯早疫病,129,66,195,4.86
2026-03-14 20:52:23,rag,马铃薯早疫病,129,63,192,5.08
2026-03-14 20:52:39,rag,马铃薯早疫病,129,67,196,3.33
2026-03-14 20:57:46,rag,马铃薯早疫病,129,64,193,4.68
2026-03-14 21:04:11,rag,马铃薯早疫病,129,63,192,6.61
2026-03-14 21:05:19,rag,马铃薯早疫病,129,70,199,4.49
2026-03-14 21:05:59,rag,马铃薯早疫病,129,81,210,4.96
2026-03-14 21:28:25,rag,马铃薯早疫病,129,60,189,3.99
2026-03-14 21:28:35,rag,马铃薯早疫病,129,68,197,4.32
2026-03-14 21:39:23,马铃薯早疫病,129,61,190,6.09
2026-03-14 21:42:11,马铃薯早疫病,129,62,191,5.33
2026-03-14 21:42:31,马铃薯早疫病,129,63,192,4.5
2026-03-14 22:09:24,rag,Late_blight,162,965,1127,45.02
2026-03-14 22:15:46,rag,马铃薯晚疫病,356,496,852,24.76
2026-03-14 22:16:46,rag,马铃薯晚疫病,356,912,1268,43.52
2026-03-14 22:20:07,rag,Late_blight,149,728,877,35.35
2026-03-14 22:22:58,rag,Late_blight,149,482,631,23.16
2026-03-14 22:27:59,rag,Late_blight,149,1083,1232,46.27
2026-03-14 22:29:14,rag,Late_blight,149,634,783,27.56
2026-03-14 22:30:47,rag,Late_blight,149,569,718,27.89
2026-03-15 16:22:47,rag,Late_blight,149,566,715,40.93
2026-03-15 16:28:21,rag,Late_blight,149,585,734,31.13
2026-03-15 18:47:16,rag,Late_blight,149,690,839,31.22
2026-03-18 19:58:22,rag,Late_blight,149,872,1021,35.75
